PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,440109473,135185936,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSCC(=O)NC(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5)C,Active,,,,0.016,IC50,=,16,nM
2,440112528,146430218,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSC3=NC4=C(C5=CC=CC=C5N4)N=N3)C6=CC=CC=C6)C,Active,,,,0.017,IC50,=,17,nM
3,440113943,135185931,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSCC(=O)NCC3=CC=C(C=C3)F)C4=CC=CC=C4)C,Active,,,,0.192,IC50,=,192,nM
4,440121740,146422024,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSC3=CC=CC(=C3)NC(=O)C4=CC(=CN=C4)Br)C5=CC=CC=C5)C,Active,,,,0.009,IC50,=,9,nM
5,440145366,135185932,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSCC(=O)NC3=CC4=CC=CC=C4C=C3)C5=CC=CC=C5)C,Active,,,,0.007,IC50,=,7,nM
6,440150718,17555821,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSC3=NNC(=N3)C4CC4)C5=CC=CC=C5)C,Active,,,,0.059,IC50,=,59,nM
7,440152269,135185942,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSCC(=O)C3=CC4=C(C=C3)C5=CC=CC=C5C4)C6=CC=CC=C6)C,Active,,,,0.062,IC50,=,62,nM
8,440166052,135185934,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSCC(=O)NC3=CC4=C(C=C3)N=CS4)C5=CC=CC=C5)C,Active,,,,0.0029,IC50,=,2.9,nM
9,440181377,135185944,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSCC(=O)NC3=CC(=C(C(=C3)OC)OC)OC)C4=CC=CC=C4)C,Active,,,,0.00064,IC50,=,0.64,nM
10,440192100,135185926,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSCC(=O)N3C4=CC=CC=C4CCC5=CC=CC=C53)C6=CC=CC=C6)C,Active,,,,0.006,IC50,=,6,nM
11,440196194,135185937,CC1=CC(=C(C=C1C)C2=NN(C(=C2)NC(=O)CSCC(=O)NC34CC5CC(C3)CC(C5)C4)C6=CC=CC=C6)C,Active,,,,0.021,IC50,=,21,nM
